Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
10,4.0,0.3720000088214874,"human, increase, study, factor, may, wildlife, ecology, population, management, behavior","Quantitative attribution of the relationships between ecosystem services (ES) is crucial for ecosystem management and the sustainable development of the ecological environment. However, analyses of determinants and their interactions of ES trade-offs/synergies are generally inadequate, especially in Ecological Conservation Red Line (ECRL) areas that maintain national and regional ecological security. Soil conservation (SC), water yield (WY), and carbon sequestration (CS) were simulated in the Beijing ECRL areas. The geographical weighted regression considering local parameters was used to explore the trade-offs/synergies, and the geographical detector utilizing spatial heterogeneity was applied to quantitatively identify their driving factors. Results show that:(1) trade-offs and synergies were present between these three ES in space, and the SC and CS show marked synergies which characterized more than 80% of each ECRL area; (2) in the ECRL areas of Beijing, the synergies of the three pairs of ES was most sensitive to terrain factors. The determinants of the spatial trade-offs between SC and WY, SC and CS, and WY and CS are potential evapotranspiration, precipitation, and temperature, respectively; (3) compounding effects of nonlinear enhancement exists between the environmental factors. The interaction between precipitation and other factors had the greatest explanatory power on the trade-offs/synergies between SC and WY. Precipitation and relief amplitude are the main interactive factors respectively affecting the trade-offs and synergies between SC and CS. The trade-offs and synergies between WY and CS were most sensitive to the interaction between climate factors and terrain factors."
11,6.0,0.5562999844551086,"research, social, management, biodiversity, system, approach, study, scale, use, provide","As urbanization continues to expand across the globe, urban wildlife research is critical for urban planners and conservation practitioners to create livable cities for both humans and wildlife. In 2012, Magle et al. conducted a foundational review on the status of urban wildlife research. The authors described the status of urban wildlife research as of 2010 and offered suggestions for future advancements in the field. We conducted a systematic review following Magle et al. (2012) to provide a 10-year update on the state of urban wildlife research globally and describe recent advancements in the field. We also conducted a broader literature search to further explore current research trends and continuing research gaps within the urban wildlife field. We found that urban wildlife publications have continued to increase within the last decade. However, the sectors conducting the research and the geographical location of publications stayed relatively the same. Similarly, the predominant taxa studied were mammals and birds across the 2000-2020 decades. After broadening our literature search, we were able to identify a new emphasis on management-related research and research in the fields of disease ecology, social science, and methodological development. Critical knowledge gaps remain, however, as there was still a significant lack of studies on herptiles, arthropods, and fish. Additionally, studies from Africa, South America, and Asia - three of the fastest urbanizing continents - were underrepresented. Our results provide conservation practitioners a summary of emerging topics and recommendations for future research that will contribute to creating healthier and more livable cities for both wildlife and people."
12,0.0,0.7439000010490417,"forest, use, biodiversity, study, ecosystem, water, restoration, landscape, change, management","Conservation agriculture practices (CAs) have been internationally promoted and used for decades to enhance soil health and mitigate soil loss. An additional benefit of CAs has been mitigation of agricultural runoff impacts on aquatic ecosystems. Countries across the globe have agricultural agencies that provide programs for farmers to implement a variety of CAs. Increasingly there is a need to demonstrate that CAs can provide ecological improvements in aquatic ecosystems. Growing global concerns of lost habitat, biodiversity, and ecosystem services, increased eutrophication and associated harmful algal blooms are expected to intensify with increasing global populations and changing climate. We conducted a literature review identifying 88 studies linking CAs to aquatic ecological responses since 2000. Most studies were conducted in North America (78%), primarily the United States (73%), within the framework of the USDA Conservation Effects Assessment Project. Identified studies most frequently documented macroinvertebrate (31%), fish (28%), and algal (20%) responses to riparian (29%), wetland (18%), or combinations (32%) of CAs and/or responses to eutrophication (27%) and pesticide contamination (23%). Notable research gaps include better understanding of biogeochemistry with CAs, quantitative links between varying CAs and ecological responses, and linkages of CAs with aquatic ecosystem structure and function."
13,6.0,0.47369998693466187,"research, social, management, biodiversity, system, approach, study, scale, use, provide","Multidisciplinary approaches to conservation and wildlife management are often effective in addressing complex, multi-factor problems. Emerging fields such as conservation physiology and conservation behaviour can provide innovative solutions and management strategies for target species and systems. Sensory ecology combines the study of 'how animals acquire' and process sensory stimuli from their environments, and the ecological and evolutionary significance of 'how animals respond' to this information. We review the benefits that sensory ecology can bring to wildlife conservation and management by discussing case studies across major taxa and sensory modalities. Conservation practices informed by a sensory ecology approach include the amelioration of sensory traps, control of invasive species, reduction of human-wildlife conflicts and relocation and establishment of new populations of endangered species. We illustrate that sensory ecology can facilitate the understanding of mechanistic ecological and physiological explanations underlying particular conservation issues and also can help develop innovative solutions to ameliorate conservation problems."
14,4.0,0.7268999814987183,"human, increase, study, factor, may, wildlife, ecology, population, management, behavior","For many ecosystems, feral horses are increasingly becoming an important if not dominant component of ungulate biomass and hence influence on community dynamics. Yet we still know little of how horses contribute to key ecological interactions including predator-prey and indirect competitive relationships at a community level. Notably, feral species like horses can exhibit life-history traits that differ from that of native (mainly artiodactyl) herbivore competitors. Artificial selection for traits like increased, early, or extended reproduction that have yet to be reversed by natural selection, coupled with naturally selected differences in anatomy and behavior, in addition to unique management objectives for horses compared to other species, means that the dynamics of feral horse populations are not likely to align with what might be expected of other large herbivores. Unexpected population dynamics and inherent biological asymmetries between native ungulates and feral horses may therefore influence the former via direct competition for shared resources and through enemy-mediated interactions like apparent competition. In several localities feral horses now co-exist with multiple native prey species, some of which are in decline or are species at risk. Compounding risks to native species from direct or indirect competitive exclusion by horses is the unique nature and socio-political context of feral horse management, which tends towards allowing horse populations to be limited largely by natural, density-dependent factors. We summarize the inherent asymmetries between feral horse biology and that of other ungulate prey species with consequences for conservation, focusing on predator-prey and emerging indirect interactions in multi-prey systems, and highlight future directions to address key knowledge gaps in our understanding of how feral horses may now be contributing to the (re)structuring of food webs. Observations of patterns of rapid growth and decline, and associated skews in sex ratios of feral horse populations, indicate a heightened potential for indirect interactions among large ungulate prey species, where there is a prevalence of feral horses as preferred prey, particularly where native prey are declining. In places like western North America, we expect predator-prey interactions involving feral horses to become an increasingly important factor in the conservation of wildlife. This applies not only to economically or culturally important game species but also at-risk species, both predators (e.g., wolves [Canis lupus], grizzly bears [Ursus arctos]) and prey (e.g., woodland caribou [Rangifer tarandus caribou]), necessitating an ecological understanding of the role of horses in natural environments that goes beyond that of population control. (c) 2021 The Wildlife Society."
15,2.0,0.8992999792098999,"specie, habitat, population, use, area, distribution, study, high, model, species","Our research is the most comprehensive study of jaguar behavior ecology in Mexico. By analyzing and describing the movements and use of the space, as well as the interactions among individual jaguars, we can better understand their behavioral differences, habitat use, and home range. This type of information is critical for the development and implementation of effective and appropriate conservation strategies. We identified home range size for 14 jaguars in a 13-year period and described the interspecific relations and use of space by the percentages of overlap of the territories between individuals. Collectively, the average home range size was larger than 200 km(2), ranging from 48 to 633 km(2) and averaging 296 km(2) for males varied and 37-435 km(2), with an average of 148 km(2), for females. However, home range sizes did not differ significantly among males or females. Male territory overlapped about 3.3% on average (range 2.5-15.5%), suggesting that most of the time males avoid each other. Average overlap of female territory was 12%, ranging from 7 to 100%. Males share an average of 18% (range 2-56%) of its territory and with up to five females, suggesting that a given male may be related to all of them at certain periods of time. There were no seasonal changes (dry and rainy seasons) in home range sizes for both male and females. Our research is an important contribution to the ecological information essential for landscape-level conservation plans for the protection of the jaguars and the biological diversity of the wider Yucatan Peninsula in which they inhabit."
16,6.0,0.4465000033378601,"research, social, management, biodiversity, system, approach, study, scale, use, provide","Framing environmental issues in a sustainability context requires that we highlight the interdependencies between ecological, social and economic factors. Accordingly, the socio-ecological system (SES), which emphasizes the interplay between environmental and social dynamics, seems to be the appropriate framework for analysis. We applied this view to explore issues concerning the conservation of the remnant forests of the peri-urban area of Bogota (Colombia). Specifically, we characterized this territory as a SES through a parsimonious set of fundamental, across-domain variables. Using elicitation-based information we reconstructed interactions between these variables so that their interactive network could be visualized as alternative signed digraphs. We analyzed these models by Loop Analysis to show that exploiting the structure of the interactions may help disentangling causative mechanisms for the response of remnant forests and other components of this SES to natural events (loss of soil fertility), policies (subsidizing industrial production) and social events (internal migration, social activism) that we assumed as potential drivers of change. Our results highlight that integrating ecological and social variables in a unique interactive network can reveal important causal linkages that make remnant forests unexpectedly vulnerable to certain drivers but also that unexpected beneficial effects may occur, clarifying why same drivers of change can be responsible for both deforestation and forest regrowth. Overall, the analysis reveals that trade-offs between desirable ecological and social outcomes are the rule and that potential win-win outcomes across the triple-bottom line of the sustainable development paradigm are difficult to achieve."
17,6.0,0.5764999985694885,"research, social, management, biodiversity, system, approach, study, scale, use, provide","China proposed the Ecological Conservation Redline (ECR) strategy in 2011 and listed it as an important part of the ecological promotion process in 2013. In 2017, China implemented the designation of ECR at a national scale. The aim was to demarcate areas with unique ecological functions. Therefore, the ECR became a key part of national ecological security. Three major types of area are covered by the ECR so that important ecosystem functions can be protected. These are ecologically fragile zones, biodiversity, and natural landscapes. The ECR is characterized as being fundamental, systematic, and mandatory. This study summarizes the developmental background, theoretical framework, and structural composition of ECR, and highlights recent advances. A comparison of the ECR to international protected areas showed that they were generally similar, but there were differences in the methods used to protect targets, their system design, and their management, which provided insights and recommendations that could improve the construction and management of protected areas in the future. These included: (1) increasing the integrity of ecological protection by replacing dispersed protection with a more comprehensive and systematic approach, (2) increasing the spatial accuracy of protection to enhance the effectiveness of protection, and (3) implementing an overall-process management to guarantee the sustainability of protection. Finally, suggestions are made for further protected area improvements and ecological protection, including further theoretical exploration, strengthening management, and facilitating international cooperation."
18,4.0,0.6949999928474426,"human, increase, study, factor, may, wildlife, ecology, population, management, behavior","Integrated Pest Management (IPM) is considered as an ecological conservation technology for crop pests' management; however, the technology adoption is intensely affected by surrounding socio-psychological environment, which is poorly studied, particularly in developing nations. The present study therefore aimed at addressing this gap through application of an extended form of Technology Acceptance Model (TAM) in order to examine the determinants of Iranian farmers' ecological conservation behavior regarding the use of IPM practices. This research was a descriptive, causal, and correlational study conducted through a cross-sectional survey of 327 tomato growers in Zanjan Province of Iran. The results disclosed that the growers utilize various IPM practices (cultural, mechanical, chemical, and biological); nevertheless, the majority of growers were grouped in relatively low or low level of IPM practices' usage. The key propositions of the original TAM, i.e., attitude, perceived usefulness, and perceived ease of use, explained 41.3% of the variance in the farmers' ecological conservation behavior regarding IPM practices' application. Moreover, the extended TAM was appropriate for the prediction of effective factors of farmers' ecological conservation behavior concerning the use of IPM practices. Also, adding the four constructs of social influence, result demonstrability, compatibility, and self-efficacy, significantly enhanced the stability and explanatory power of the original TAM (from 41.3% to 46.4%). In the extended TAM, result demonstrability (beta = 0.182) and compatibility (beta = 0.360) had significant positive impacts on perceived usefulness; while, self-efficacy had a meaningful positive effect on perceived ease of use (beta = 0.776), and had not any impact on perceived usefulness (beta = 0.114). The findings of this study expanded the current body of knowledge on technology acceptance via the investigation of TAM in a novel ecological conservation technology field (i.e., the IPM technology) and provided a roadmap for better understanding of decisive factors affecting farmers' ecological conservation behavior as well as post-implementation interventions aiming at IPM technology promotion in developing countries. (C) 2020 The Authors. Published by Elsevier B.V."
19,0.0,0.4632999897003174,"forest, use, biodiversity, study, ecosystem, water, restoration, landscape, change, management","The ecological threshold concept describes how changes in one or more factors at thresholds can result in a large shift in the state of an ecosystem. This concept focuses attention on limiting factors that affect the tolerance of systems or organisms and changes in them. Accumulating empirical evidence for the existence of ecological thresholds has created favorable conditions for practical application to wildlife conservation. Applying the concept has the potential to enhance conservation of two large carnivores, Amur tiger and leopard, and the knowledge gained could guide the construction of a proposed national park. In this review, ecological thresholds that result from considering a paradigm of bottom-up control were evaluated for their potential to contribute to the conservation of Amur tiger and leopard. Our review highlights that large carnivores, as top predators, are potentially affected by ecological thresholds arising from changes in climate (or weather), habitat, vegetation, prey, competitors, and anthropogenic disturbances. What's more, interactions between factors and context dependence need to be considered in threshold research and conservation practice, because they may amplify the response of ecosystems or organisms to changes in specific drivers. Application of the threshold concept leads to a more thorough evaluation of conservation needs, and could be used to guide future Amur tiger and leopard research and conservation in China. Such application may inform the conservation of other large carnivores worldwide. (C) 2019 The Authors. Published by Elsevier B.V."
20,1.0,0.4968999922275543,"use, land, area, landscape, spatial, result, urban, model, method, development","The ecological security (ES) pattern in China is gaining considerable attention worldwide due to intensifying urban development and human activities that threaten ecosystem structures and ecological processes. The Pearl River Delta (PRD) has experienced intense economic development for nearly 40 years; however, the ES pattern in the PRD is poorly understood. In this paper, we used a multisource data approach to assess ES, performed downscaling to a 1 x 1 km(2) grid size, and applied spatial statistics to analyze the ES pattern in the PRD. We found three natural ecological buffers, namely, nature reserves and forest patches covering several municipalities in the delta, thus guaranteeing the socio-economic development of this highly urbanized area. The spatial autocorrelation results indicated that the ES pattern is significantly spatially correlative (p = 0.001), with a Moran's I of 0.7766. We identified several hot and cold spots for the ES spatial distribution that occupied 58.49% of the PRD's total area. Moreover, a semivariance analysis showed that structural factors are dominant in the ES spatial distribution. Based on the ES area proportions, the 9 municipalities of the PRD can be grouped into three categories: optimized development zones, comprehensive development zones, and ecological conservation development areas. Zhaoqing, Huizhou and Jiangmen are key areas for improving ES conservation in the PRD. In this study, we explore an ES assessment model coupled with a spatial heterogeneity analysis to provide insights into ecological conservation efforts in urban agglomerations."
21,3.0,0.42089998722076416,"area, management, protect, fish, marine, biodiversity, impact, ecosystem, use, identify","Coastal human ecology (CHE) is a mixture of different theoretical and thematic approaches straddling between the humanities and social and natural sciences which studies human and coastal/marine interactions at the local-scale and through intense fieldwork. Topics of interest include human coastal adaptations past and present; the historical ecology of fisheries and future implications; local forms of marine governance and economic systems; local food security and livelihoods, and indigenous/local ecological knowledge systems among many research themes. In this paper, I explore different strands of CHE in the study of tribal, artisanal, and small-scale industrial fisheries from the mid-90s onward that can contribute to the foundational knowledge necessary for designing and implementing successful coastal fisheries management and conservation programs. Marine conservation has often failed due to a lack of understanding of the fine grained marine human-environmental interactions at the local scale. In this context, I also examine developing and future research directions in CHE, and discuss their potential contribution for filling the gap in existing approaches to actionable scholarship in marine conservation. The strength of many CHE approaches lies in their potential for bridging humanism and natural science, and thus CHE approaches are well equipped to address many of the challenges faced by marine conservation practitioners today."
22,6.0,0.3700000047683716,"research, social, management, biodiversity, system, approach, study, scale, use, provide","A 'rewilding' process is occurring in Europe and beyond, centered on landscapes reverting from agricultural use to a more natural state. Wild species are arriving by natural or human-mediated range expansion, at times reclaiming ranges from which they were lost centuries ago. Recent colonizers include alien invasives and species expanding their historical distribution without direct human assistance. These events can deepen our understanding of contemporary evolution, including wildlife responses to changing climatic conditions. Rewilding can advance conservation genomics by encouraging study of wildlife in environments where these species represent novel arrivals or return after prolonged absences. Such efforts could facilitate more experimental approaches to research design than that typically feasible for landscape-scale ecological and evolutionary studies. Correspondingly, developments in conservation genomics offer unparalleled means for testing predictions about rewilding, and advancing evolutionary enlightened and proactive conservation planning. In this perspective article, we examine four European carnivore species relevant as case studies of (re) colonization and/or rewilding, and discuss examples of emerging research opportunities in genomics, evolutionary ecology, and human-wildlife relationships. (C) 2019 The Authors. Published by Elsevier B.V."
23,0.0,0.5099999904632568,"forest, use, biodiversity, study, ecosystem, water, restoration, landscape, change, management","Local ecological knowledge and the land use practices of forest resource users who rely on this form of knowledge play a crucial role for biodiversity conservation in managed forests. The understandings of, and approaches taken to analyze, such knowledge are diverse. To systematize the available knowledge, we conduct a review of 51 studies addressing local ecological knowledge (LEK) and forest biodiversity conservation practice. We analyze what specific kind of knowledge is considered, who holds the knowledge, how this knowledge is actively applied in practice and how it relates to biodiversity conservation. The review shows that local ecological knowledge and forest biodiversity conservation are linked through various socially shared aspects, such as values and norms, spiritual beliefs and perceptions of ecosystem functions and benefits as well as operational conditions, including livelihood strategies and economic constraints. While many of the reviewed studies evaluate local knowledge as holding great promise for biodiversity conservation, the conclusions regarding practical implications of including this knowledge into forest and conservation management are mixed. In particular, the interaction of traditional conservation paradigms rooted in local ecological knowledge and science-based modern paradigms is not thoroughly addressed. This applies especially to European countries, where research on local ecological knowledge is scattered. Drawing on these observations, we conclude that a greater focus on the ways in which societies in these countries can (re)generate, transform and apply local ecological knowledge can play a crucial role in integrating conservation objectives into forest management under changing environmental conditions."
24,5.0,0.7085000276565552,"knowledge, local, wildlife, community, ecology, human, political, nature, indigenous, people","Traditional Ecological Knowledge (TEK) is increasingly being applied in the field of wildlife conservation, yet conceptualizations of what TEK is and views regarding whether TEK is science remain diverse and, at times, conflicting in the TEK discourse. Many practical and philosophical challenges come with the pursuit of TEK initiatives, potentially leaving wildlife researchers and managers wondering how to conduct projects effectively and also in a culturally sensitive manner. The consideration of historical and philosophical contexts that affect tribal communities may be beneficial in such cases. I provide a historical context by presenting chronological events of Indian Country in the United States as related to Federal Indian Law in parallel with the development of wildlife management as a profession. Additionally, I explore the philosophical context of TEK as science by discussing Western and Indigenous scientific paradigms and their linkages to TEK. Finally, given these contexts, I provide several suggestions for developing culturally sensitive approaches to TEK research in the wildlife field. (C) 2018 The Wildlife Society."
25,4.0,0.486299991607666,"human, increase, study, factor, may, wildlife, ecology, population, management, behavior","Ecological modernization projects are crucial drivers for transforming economies and territorial policies in small scale islands. Social factors and public behavior are determinants for successful implementation of this transition strategy that refers to several domains in parallel, e.g., energy transition, biodiversity conservation, environmentally friendly agri-culture and green-services sector. In this paper, we propose a technique to ordinate and plot combined values-choices of individuals in a 4 phase/2D plane regarding the implementation of ecological modernization policies organized around four traits, i.e., speed and quantity of the process, organizational complexity and governance origin of a project. Results are intriguing. Arrangements of combined individual choices appear with a main sequence corresponding to the fatalist anthropological rationality category according to Douglas' model of polyrationalities. There are differences between public quantitative and qualitative evaluations of specific projects; these differences are maximized when conservation plans are confronted to specific energy facilities. We propose the idea that this technique could be an instrument for scrutinizing public engagement with- and appreciation of-biodiversity conservation in the emerging field of culturomics."
